field,mean_f1,total_support
quant-ph,0.27586206896551724,40.0
gr-qc,0.25,40.0
eess,0.2123528229857344,100.0
physics,0.20868319096046706,863.0
q-bio,0.1990856400031277,346.0
astro-ph,0.1978645412967447,240.0
nlin,0.17360138795335298,174.0
econ,0.17158018867924527,120.0
cs,0.16641359958855034,1544.0
q-fin,0.13201104594175406,307.0
hep,0.12962962962962962,160.0
cond-mat,0.12360342813550051,360.0
math,0.1112041385444858,1200.0
nucl,0.1038961038961039,80.0
stat,0.10301007391041321,150.0
math-ph,0.0,40.0
