,precision,recall,f1-score,support
astro-ph.CO,0.25,0.35,0.2916666666666667,40.0
astro-ph.EP,0.22627737226277372,0.775,0.3502824858757062,40.0
astro-ph.GA,0.4,0.3,0.34285714285714286,40.0
astro-ph.HE,0.0,0.0,0.0,40.0
astro-ph.IM,0.5,0.1,0.16666666666666666,40.0
astro-ph.SR,0.0625,0.025,0.03571428571428571,40.0
cond-mat.dis-nn,0.0,0.0,0.0,40.0
cond-mat.mes-hall,0.18181818181818182,0.1,0.12903225806451613,40.0
cond-mat.mtrl-sci,0.0,0.0,0.0,40.0
cond-mat.other,0.0,0.0,0.0,40.0
cond-mat.quant-gas,0.24324324324324326,0.225,0.23376623376623376,40.0
cond-mat.soft,0.32653061224489793,0.4,0.3595505617977528,40.0
cond-mat.stat-mech,0.0,0.0,0.0,40.0
cond-mat.str-el,0.09375,0.075,0.08333333333333333,40.0
cond-mat.supr-con,0.2032520325203252,0.625,0.3067484662576687,40.0
cs.AI,0.0,0.0,0.0,40.0
cs.AR,0.1652892561983471,0.5,0.2484472049689441,40.0
cs.CC,0.0,0.0,0.0,40.0
cs.CE,0.0,0.0,0.0,40.0
cs.CG,0.36363636363636365,0.1,0.1568627450980392,40.0
cs.CL,0.36666666666666664,0.275,0.3142857142857143,40.0
cs.CR,0.4,0.15,0.21818181818181817,40.0
cs.CV,0.28,0.35,0.3111111111111111,40.0
cs.CY,0.3,0.075,0.12,40.0
cs.DB,0.2903225806451613,0.225,0.2535211267605634,40.0
cs.DC,0.0,0.0,0.0,40.0
cs.DL,0.3146067415730337,0.7,0.43410852713178294,40.0
cs.DM,0.12121212121212122,0.2,0.1509433962264151,40.0
cs.DS,0.42857142857142855,0.075,0.1276595744680851,40.0
cs.ET,0.125,0.025,0.041666666666666664,40.0
cs.FL,0.21052631578947367,0.3,0.24742268041237114,40.0
cs.GL,0.0,0.0,0.0,4.0
cs.GR,0.2,0.025,0.044444444444444446,40.0
cs.GT,0.3076923076923077,0.1,0.1509433962264151,40.0
cs.HC,0.2571428571428571,0.225,0.24,40.0
