field,mean_f1,total_support
hep-lat,0.4716981132075472,40.0
nucl-th,0.4222222222222222,40.0
hep-ex,0.3958333333333333,40.0
quant-ph,0.3877551020408163,40.0
nlin,0.3838394287021603,174.0
gr-qc,0.3835616438356164,40.0
astro-ph,0.37875278091138975,240.0
cond-mat,0.2895860172656413,360.0
cs,0.2894257528384283,1544.0
q-bio,0.27825632570467296,346.0
math,0.27807919004392817,1200.0
physics,0.2594101901676147,863.0
nucl-ex,0.2571428571428571,40.0
q-fin,0.24223671011553438,307.0
hep-th,0.1851851851851851,40.0
econ,0.16830391830391825,120.0
eess,0.16063291139240507,100.0
hep-ph,0.1454545454545454,40.0
stat,0.13772381006930523,150.0
math-ph,0.0,40.0
