,precision,recall,f1-score,support
astro-ph,1.0,0.0625,0.11764705882352941,240.0
cond-mat,0.896551724137931,0.14444444444444443,0.24880382775119617,360.0
cs,0.4768300873069174,0.9196891191709845,0.6280406899601946,1544.0
econ,0.0,0.0,0.0,120.0
eess,0.0,0.0,0.0,100.0
gr-qc,0.0,0.0,0.0,40.0
hep,0.8571428571428571,0.0375,0.0718562874251497,160.0
math,0.6637758505670447,0.8291666666666667,0.7373101148573545,1200.0
math-ph,0.0,0.0,0.0,40.0
nlin,1.0,0.022988505747126436,0.0449438202247191,174.0
nucl,0.0,0.0,0.0,80.0
physics,0.45088868101029,0.5585168018539977,0.4989648033126294,863.0
q-bio,0.8620689655172413,0.07225433526011561,0.13333333333333333,346.0
q-fin,0.8476190476190476,0.2899022801302932,0.4320388349514563,307.0
quant-ph,0.0,0.0,0.0,40.0
stat,0.0,0.0,0.0,150.0
accuracy,0.5357390700902152,0.5357390700902152,0.5357390700902152,0.5357390700902152
macro avg,0.44092982583133306,0.18356013457960177,0.18205867316497265,5764.0
weighted avg,0.5819344196243476,0.5357390700902152,0.45124301645815373,5764.0
