,precision,recall,f1-score,support
astro-ph.CO,0.4358974358974359,0.425,0.43037974683544306,40.0
astro-ph.EP,0.5,0.4,0.4444444444444444,40.0
astro-ph.GA,0.41379310344827586,0.6,0.4897959183673469,40.0
astro-ph.HE,0.36585365853658536,0.375,0.37037037037037035,40.0
astro-ph.IM,0.46153846153846156,0.15,0.22641509433962265,40.0
astro-ph.SR,0.28,0.35,0.3111111111111111,40.0
cond-mat.dis-nn,0.38461538461538464,0.25,0.30303030303030304,40.0
cond-mat.mes-hall,0.37037037037037035,0.25,0.29850746268656714,40.0
cond-mat.mtrl-sci,0.2857142857142857,0.1,0.14814814814814814,40.0
cond-mat.other,0.16666666666666666,0.075,0.10344827586206896,40.0
cond-mat.quant-gas,0.41509433962264153,0.55,0.4731182795698925,40.0
cond-mat.soft,0.3333333333333333,0.375,0.35294117647058826,40.0
cond-mat.stat-mech,0.09090909090909091,0.025,0.0392156862745098,40.0
cond-mat.str-el,0.2549019607843137,0.325,0.2857142857142857,40.0
cond-mat.supr-con,0.5283018867924528,0.7,0.6021505376344086,40.0
cs.AI,0.09523809523809523,0.05,0.06557377049180328,40.0
cs.AR,0.358974358974359,0.35,0.35443037974683544,40.0
cs.CC,0.3235294117647059,0.275,0.2972972972972973,40.0
cs.CE,0.1,0.05,0.06666666666666667,40.0
cs.CG,0.35294117647058826,0.15,0.21052631578947367,40.0
cs.CL,0.15,0.15,0.15,40.0
cs.CR,0.48,0.3,0.36923076923076925,40.0
cs.CV,0.3103448275862069,0.45,0.3673469387755102,40.0
cs.CY,0.13333333333333333,0.1,0.11428571428571428,40.0
cs.DB,0.325,0.325,0.325,40.0
cs.DC,0.3125,0.25,0.2777777777777778,40.0
cs.DL,0.38461538461538464,0.5,0.43478260869565216,40.0
cs.DM,0.2571428571428571,0.225,0.24,40.0
cs.DS,0.3235294117647059,0.275,0.2972972972972973,40.0
cs.ET,0.3,0.225,0.2571428571428571,40.0
cs.FL,0.6071428571428571,0.425,0.5,40.0
cs.GL,0.25,0.25,0.25,4.0
cs.GR,0.4,0.2,0.26666666666666666,40.0
cs.GT,0.39473684210526316,0.375,0.38461538461538464,40.0
cs.HC,0.32,0.2,0.24615384615384617,40.0
cs.IR,0.375,0.3,0.3333333333333333,40.0
cs.IT,0.25925925925925924,0.175,0.208955223880597,40.0
cs.LG,0.05128205128205128,0.05,0.05063291139240506,40.0
cs.LO,0.3888888888888889,0.175,0.2413793103448276,40.0
cs.MA,0.3,0.3,0.3,40.0
cs.MM,0.34615384615384615,0.45,0.391304347826087,40.0
cs.MS,0.2926829268292683,0.3,0.2962962962962963,40.0
cs.NA,0.16901408450704225,0.3,0.21621621621621623,40.0
cs.NE,0.3170731707317073,0.325,0.32098765432098764,40.0
cs.NI,0.358974358974359,0.35,0.35443037974683544,40.0
cs.OH,0.0,0.0,0.0,40.0
cs.OS,0.3,0.6,0.4,20.0
cs.PF,0.24,0.3,0.26666666666666666,40.0
cs.PL,0.5151515151515151,0.425,0.4657534246575342,40.0
cs.RO,0.40384615384615385,0.525,0.45652173913043476,40.0
cs.SC,0.32608695652173914,0.375,0.3488372093023256,40.0
cs.SD,0.36585365853658536,0.375,0.37037037037037035,40.0
cs.SE,0.3181818181818182,0.525,0.39622641509433965,40.0
cs.SI,0.2535211267605634,0.45,0.32432432432432434,40.0
cs.SY,0.3,0.45,0.36,40.0
econ.EM,0.21052631578947367,0.2,0.20512820512820512,40.0
econ.GN,0.15384615384615385,0.1,0.12121212121212122,40.0
econ.TH,0.3125,0.125,0.17857142857142858,40.0
eess.AS,0.1016949152542373,0.3,0.1518987341772152,20.0
eess.IV,0.203125,0.325,0.25,40.0
eess.SP,0.08571428571428572,0.075,0.08,40.0
gr-qc,0.42424242424242425,0.35,0.3835616438356164,40.0
hep-ex,0.3392857142857143,0.475,0.3958333333333333,40.0
hep-lat,0.3787878787878788,0.625,0.4716981132075472,40.0
hep-ph,0.26666666666666666,0.1,0.14545454545454545,40.0
hep-th,0.35714285714285715,0.125,0.18518518518518517,40.0
math-ph,0.0,0.0,0.0,40.0
math.AC,0.5333333333333333,0.4,0.45714285714285713,40.0
math.AG,0.2,0.15,0.17142857142857143,40.0
math.AP,0.20833333333333334,0.25,0.22727272727272727,40.0
math.AT,0.34782608695652173,0.2,0.25396825396825395,40.0
math.CA,0.21568627450980393,0.275,0.24175824175824176,40.0
math.CO,0.11538461538461539,0.075,0.09090909090909091,40.0
math.CT,0.46875,0.375,0.4166666666666667,40.0
math.CV,0.3235294117647059,0.275,0.2972972972972973,40.0
math.DG,0.2653061224489796,0.325,0.29213483146067415,40.0
math.DS,0.125,0.025,0.041666666666666664,40.0
math.FA,0.21621621621621623,0.2,0.2077922077922078,40.0
math.GM,0.25,0.175,0.20588235294117646,40.0
math.GN,0.32786885245901637,0.5,0.39603960396039606,40.0
math.GR,0.2878787878787879,0.475,0.3584905660377358,40.0
math.GT,0.4,0.4,0.4,40.0
math.HO,0.3333333333333333,0.125,0.18181818181818182,40.0
math.KT,0.25675675675675674,0.475,0.3333333333333333,40.0
math.LO,0.5454545454545454,0.3,0.3870967741935484,40.0
math.MG,0.225,0.225,0.225,40.0
math.NA,0.125,0.175,0.14583333333333334,40.0
math.NT,0.2638888888888889,0.475,0.3392857142857143,40.0
math.OA,0.30434782608695654,0.35,0.32558139534883723,40.0
math.OC,0.19444444444444445,0.175,0.18421052631578946,40.0
math.PR,0.16216216216216217,0.15,0.15584415584415584,40.0
math.QA,0.3684210526315789,0.35,0.358974358974359,40.0
math.RA,0.27450980392156865,0.35,0.3076923076923077,40.0
math.RT,0.21739130434782608,0.25,0.23255813953488372,40.0
math.SG,0.5238095238095238,0.55,0.5365853658536586,40.0
math.SP,0.2840909090909091,0.625,0.390625,40.0
math.ST,0.18421052631578946,0.175,0.1794871794871795,40.0
nlin.AO,0.4230769230769231,0.275,0.3333333333333333,40.0
nlin.CD,0.275,0.275,0.275,40.0
nlin.CG,0.3333333333333333,0.6,0.42857142857142855,15.0
nlin.PS,0.3888888888888889,0.525,0.44680851063829785,40.0
nlin.SI,0.3176470588235294,0.6923076923076923,0.43548387096774194,39.0
nucl-ex,0.3,0.225,0.2571428571428571,40.0
nucl-th,0.38,0.475,0.4222222222222222,40.0
physics.acc-ph,0.4339622641509434,0.575,0.4946236559139785,40.0
physics.ao-ph,0.3055555555555556,0.275,0.2894736842105263,40.0
physics.app-ph,0.16,0.1,0.12307692307692308,40.0
physics.atm-clus,0.3142857142857143,0.275,0.29333333333333333,40.0
physics.atom-ph,0.3389830508474576,0.5,0.40404040404040403,40.0
physics.bio-ph,0.25,0.075,0.11538461538461539,40.0
physics.chem-ph,0.5384615384615384,0.175,0.2641509433962264,40.0
physics.class-ph,0.3157894736842105,0.15,0.2033898305084746,40.0
physics.comp-ph,0.19230769230769232,0.125,0.15151515151515152,40.0
physics.data-an,0.058823529411764705,0.025,0.03508771929824561,40.0
physics.ed-ph,0.36,0.45,0.4,40.0
physics.flu-dyn,0.323943661971831,0.575,0.4144144144144144,40.0
physics.gen-ph,0.15384615384615385,0.15,0.1518987341772152,40.0
physics.geo-ph,0.48148148148148145,0.325,0.3880597014925373,40.0
physics.hist-ph,0.24444444444444444,0.275,0.25882352941176473,40.0
physics.ins-det,0.2972972972972973,0.275,0.2857142857142857,40.0
physics.med-ph,0.18421052631578946,0.175,0.1794871794871795,40.0
physics.optics,0.4117647058823529,0.35,0.3783783783783784,40.0
physics.plasm-ph,0.38461538461538464,0.375,0.379746835443038,40.0
physics.pop-ph,0.21052631578947367,0.12121212121212122,0.15384615384615385,33.0
physics.soc-ph,0.16666666666666666,0.075,0.10344827586206896,40.0
physics.space-ph,0.1774193548387097,0.36666666666666664,0.2391304347826087,30.0
q-bio.BM,0.42857142857142855,0.45,0.43902439024390244,40.0
q-bio.CB,0.3269230769230769,0.4358974358974359,0.37362637362637363,39.0
q-bio.GN,0.375,0.375,0.375,40.0
q-bio.MN,0.3137254901960784,0.4,0.3516483516483517,40.0
